temperature,humidity,date,hour
15.4,91,17/02/2022,0
15.2,91,17/02/2022,1
14.8,91,17/02/2022,2
14.4,91,17/02/2022,3
14,91,17/02/2022,4
13.7,91,17/02/2022,5
13.3,91,17/02/2022,6
12.9,90,17/02/2022,7
12.7,90,17/02/2022,8
13.6,91,17/02/2022,9
13.7,91,17/02/2022,10
13.4,91,17/02/2022,11
13.2,91,17/02/2022,12
13.6,91,17/02/2022,13
13,89,17/02/2022,14
13.9,91,17/02/2022,15
13.9,91,17/02/2022,16
14,91,17/02/2022,17
15.1,91,17/02/2022,18
15.8,91,17/02/2022,19
15.6,89,17/02/2022,20
15.4,91,17/02/2022,21
15.1,91,17/02/2022,22
14.9,91,17/02/2022,23
14.5,91,18/02/2022,0
14,91,18/02/2022,1
13.6,91,18/02/2022,2
13.3,91,18/02/2022,3
13,91,18/02/2022,4
12.7,90,18/02/2022,5
12.4,90,18/02/2022,6
12.2,90,18/02/2022,7
12,90,18/02/2022,8
13.1,91,18/02/2022,9
13.2,91,18/02/2022,10
12.9,90,18/02/2022,11
12.6,90,18/02/2022,12
12.3,90,18/02/2022,13
11.9,89,18/02/2022,14
11.5,89,18/02/2022,15
11.6,89,18/02/2022,16
11.8,89,18/02/2022,17
12.6,90,18/02/2022,18
13.5,91,18/02/2022,19
14.1,91,18/02/2022,20
14.2,91,18/02/2022,21
14.2,91,18/02/2022,22
13.6,91,18/02/2022,23
13.2,91,19/02/2022,0
12.6,90,19/02/2022,1
11.8,89,19/02/2022,2
11.3,89,19/02/2022,3
10.9,88,19/02/2022,4
10.5,88,19/02/2022,5
10,88,19/02/2022,6
9.8,88,19/02/2022,7
9.7,88,19/02/2022,8
11.1,89,19/02/2022,9
11.6,89,19/02/2022,10
12.3,90,19/02/2022,11
13.2,91,19/02/2022,12
14,91,19/02/2022,13
14.9,91,19/02/2022,14
13.5,90,19/02/2022,15
13.6,91,19/02/2022,16
13.7,91,19/02/2022,17
14.8,91,19/02/2022,18
15.5,91,19/02/2022,19
15.8,91,19/02/2022,20
16.4,92,19/02/2022,21
16.4,92,19/02/2022,22
16,92,19/02/2022,23
15.7,91,20/02/2022,0
15.2,91,20/02/2022,1
14.8,91,20/02/2022,2
14.5,91,20/02/2022,3
14.4,91,20/02/2022,4
14.2,91,20/02/2022,5
14.2,91,20/02/2022,6
14.2,91,20/02/2022,7
14.1,91,20/02/2022,8
14.9,91,20/02/2022,9
15.6,91,20/02/2022,10
15.5,91,20/02/2022,11
15.7,91,20/02/2022,12
16,92,20/02/2022,13
16.1,92,20/02/2022,14
15.9,91,20/02/2022,15
15.5,91,20/02/2022,16
14.4,91,20/02/2022,17
14.6,91,20/02/2022,18
15.6,91,20/02/2022,19
15.5,91,20/02/2022,20
15.9,91,20/02/2022,21
15.8,91,20/02/2022,22
14.4,91,20/02/2022,23
13.6,91,21/02/2022,0
13,91,21/02/2022,1
12.4,90,21/02/2022,2
12,90,21/02/2022,3
11.6,89,21/02/2022,4
11.3,89,21/02/2022,5
11.1,89,21/02/2022,6
11.2,89,21/02/2022,7
12.4,90,21/02/2022,8
12.3,90,21/02/2022,9
12.2,90,21/02/2022,10
12.2,90,21/02/2022,11
13.1,91,21/02/2022,12
12.9,90,21/02/2022,13
13.8,91,21/02/2022,14
14,91,21/02/2022,15
14.1,91,21/02/2022,16
14.3,91,21/02/2022,17
14.4,91,21/02/2022,18
15.5,91,21/02/2022,19
16.1,92,21/02/2022,20
15.7,91,21/02/2022,21
15.3,91,21/02/2022,22
14.7,91,21/02/2022,23
14.3,91,22/02/2022,0
14.2,91,22/02/2022,1
14.1,91,22/02/2022,2
14.1,91,22/02/2022,3
13.9,91,22/02/2022,4
13.8,91,22/02/2022,5
13.7,91,22/02/2022,6
14,91,22/02/2022,7
15.2,91,22/02/2022,8
15.4,91,22/02/2022,9
14.9,91,22/02/2022,10
14.5,91,22/02/2022,11
14.4,91,22/02/2022,12
15.7,91,22/02/2022,13
15.8,91,22/02/2022,14
15.7,91,22/02/2022,15
15.3,89,22/02/2022,16
15.6,91,22/02/2022,17
15.5,91,22/02/2022,18
15.8,91,22/02/2022,19
16.1,92,22/02/2022,20
16,92,22/02/2022,21
15.8,91,22/02/2022,22
15.4,91,22/02/2022,23
14.9,91,23/02/2022,0
14.4,91,23/02/2022,1
14.1,91,23/02/2022,2
13.8,91,23/02/2022,3
13.4,91,23/02/2022,4
13.1,91,23/02/2022,5
12.9,90,23/02/2022,6
13.2,91,23/02/2022,7
13.9,91,23/02/2022,8
14.4,91,23/02/2022,9
14.3,91,23/02/2022,10
14.1,91,23/02/2022,11
14.1,91,23/02/2022,12
14.1,91,23/02/2022,13
14.7,91,23/02/2022,14
15.3,91,23/02/2022,15
15.7,91,23/02/2022,16
14.9,89,23/02/2022,17
14.7,90,23/02/2022,18
14.9,91,23/02/2022,19
16.2,92,23/02/2022,20
16.3,92,23/02/2022,21
15.9,91,23/02/2022,22
15.1,91,23/02/2022,23
14.5,91,24/02/2022,0
14,91,24/02/2022,1
13.6,91,24/02/2022,2
13.4,91,24/02/2022,3
12.8,90,24/02/2022,4
12.3,90,24/02/2022,5
11.9,89,24/02/2022,6
11.5,89,24/02/2022,7
11.8,89,24/02/2022,8
12.5,90,24/02/2022,9
12.5,90,24/02/2022,10
11.9,89,24/02/2022,11
11.6,89,24/02/2022,12
12.2,90,24/02/2022,13
12.5,90,24/02/2022,14
12.8,90,24/02/2022,15
12.4,90,24/02/2022,16
13.8,90,24/02/2022,17
13.1,89,24/02/2022,18
13.6,91,24/02/2022,19
14.3,91,24/02/2022,20
